,Time,Artist,Song
0,2019-08-06 20:50:49,"Mustard, Nicki Minaj , Jeremih",Don't Hurt Me
1,2019-08-06 20:46:55,Drake,Nonstop
2,2019-08-06 20:43:44,Cardi B,Money
3,2019-08-06 20:40:15,The Weeknd,Earned It (Fifty Shades Of Grey)
4,2019-08-06 20:38:09,Saweetie,My Type
5,2019-08-06 20:34:01,Chris Brown feat. Drake,No Guidance
6,2019-08-06 20:28:10,Kodak Black,ZEZE (feat. Travis Scott & Offset)
7,2019-08-06 20:25:29,Khalid,Talk
8,2019-08-06 20:19:44,Meek Mill,Going Bad (feat. Drake)
9,2019-08-06 20:08:15,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
10,2019-08-06 17:52:10,Saweetie,My Type
11,2019-08-06 17:49:32,Meek Mill,Going Bad (feat. Drake)
12,2019-08-06 16:21:16,Ty Dolla $ign,Saved (feat. E-40)
13,2019-08-06 16:18:43,Meek Mill,Going Bad (feat. Drake)
14,2019-08-06 16:15:11,Derek King,Tetris
15,2019-08-06 16:10:15,The Luniz,I Got 5 On It
16,2019-08-06 16:07:13,Young Thug,The London (feat. J. Cole & Travis Scott)
17,2019-08-06 16:04:35,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
18,2019-08-06 16:02:42,Post Malone,Wow.
19,2019-08-06 15:51:03,Travis Scott,SICKO MODE
20,2019-08-06 15:47:38,Meek Mill,24/7 (feat. Ella Mai)
21,2019-08-06 15:44:49,"Jacquees , Lil Baby",Your Peace
22,2019-08-06 15:40:21,"Ja Rule , Ashanti",Mesmerize
23,2019-08-06 15:36:50,Kodak Black,ZEZE (feat. Travis Scott & Offset)
24,2019-08-06 15:32:50,Chris Brown feat. Drake,No Guidance
25,2019-08-06 15:20:29,"YG, Tyga , Jon Z",Go Loko
26,2019-08-06 15:17:06,Game,All Eyez (feat. Jeremih)
27,2019-08-06 15:14:22,Khalid,Talk
28,2019-08-06 15:10:58,Big Sean,Single Again
29,2019-08-06 15:05:07,Meek Mill,Going Bad (feat. Drake)
30,2019-08-06 15:01:08,"Khalid feat. Ty Dolla $ign , 6lack",OTW
31,2019-08-06 14:58:38,Rich The Kid,Plug Walk
32,2019-08-06 14:45:47,Meek Mill,Dangerous (feat. Jeremih and PnB Rock)
33,2019-08-06 14:43:05,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
34,2019-08-06 14:37:46,XXXTENTACION,SAD!
35,2019-08-06 14:34:13,Meek Mill,24/7 (feat. Ella Mai)
36,2019-08-06 14:22:42,The Notorious B.I.G.,Big Poppa
37,2019-08-06 14:20:07,City Girls,Act Up
38,2019-08-06 14:15:57,Chris Brown feat. Drake,No Guidance
39,2019-08-06 14:05:13,Khalid,Talk
40,2019-08-06 14:03:08,Saweetie,My Type
41,2019-08-06 13:53:01,"Post Malone , 21 Savage",rockstar
42,2019-08-06 13:49:06,"YG, 2 Chainz, Big Sean, , Nicki Minaj",BIG BANK
43,2019-08-06 13:43:37,Meek Mill,Going Bad (feat. Drake)
44,2019-08-06 13:40:53,DaBaby,Suge
45,2019-08-06 13:37:36,Ella Mai,Trip
46,2019-08-06 13:34:46,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
47,2019-08-06 13:31:28,Ty Dolla $ign,Paranoid (feat. B.o.B)
48,2019-08-06 13:22:25,"YG, Tyga , Jon Z",Go Loko
49,2019-08-06 13:18:44,Meek Mill,24/7 (feat. Ella Mai)
50,2019-08-06 13:15:32,Young Thug,The London (feat. J. Cole & Travis Scott)
51,2019-08-06 13:12:36,Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)"
52,2019-08-06 13:08:31,Chris Brown feat. Drake,No Guidance
53,2019-08-06 13:04:53,Derek King,Tetris
54,2019-08-06 11:48:35,Khalid,Talk
55,2019-08-06 11:44:39,"2Pac, Roger Troutman, , Dr. Dre",California Love
56,2019-08-06 11:41:06,Meek Mill,Dangerous (feat. Jeremih and PnB Rock)
57,2019-08-06 11:37:35,Kodak Black,ZEZE (feat. Travis Scott & Offset)
58,2019-08-06 11:34:40,"Jacquees , Lil Baby",Your Peace
59,2019-08-06 11:32:07,Meek Mill,Going Bad (feat. Drake)
60,2019-08-06 11:22:09,Childish Gambino,Redbone
61,2019-08-06 11:20:09,Saweetie,My Type
62,2019-08-06 11:17:15,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
63,2019-08-06 11:14:21,Megan Thee Stallion,Big Ole Freak
64,2019-08-06 11:10:24,"Khalid feat. Ty Dolla $ign , 6lack",OTW
65,2019-08-06 11:07:13,Drake,Headlines
66,2019-08-06 11:03:37,Meek Mill,24/7 (feat. Ella Mai)
67,2019-08-06 10:52:45,Travis Scott,goosebumps
68,2019-08-06 10:50:13,XXXTENTACION,SAD!
69,2019-08-06 10:43:00,Chris Brown feat. Drake,No Guidance
70,2019-08-06 10:38:30,Post Malone,Wow.
71,2019-08-06 10:35:43,Khalid,Talk
72,2019-08-06 10:21:29,J. Cole feat. Miguel,Power Trip
73,2019-08-06 10:18:38,"YG, Tyga , Jon Z",Go Loko
74,2019-08-06 10:15:43,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
75,2019-08-06 10:09:01,Tory Lanez,Say It
76,2019-08-06 10:06:29,Meek Mill,Going Bad (feat. Drake)
77,2019-08-06 10:02:48,Derek King,Tetris
78,2019-08-06 09:58:25,"Dr. Dre , Snoop Dogg",Still D.R.E.
79,2019-08-06 09:47:52,Meek Mill,24/7 (feat. Ella Mai)
80,2019-08-06 09:45:33,City Girls,Act Up
81,2019-08-06 09:41:38,Young Thug,The London (feat. J. Cole & Travis Scott)
82,2019-08-06 09:39:10,Chris Brown feat. Drake,No Guidance
83,2019-08-06 09:35:15,"YG, 2 Chainz, Big Sean, , Nicki Minaj",BIG BANK
84,2019-08-06 09:22:37,Khalid,Talk
85,2019-08-06 09:18:43,OutKast,Ms. Jackson
86,2019-08-06 09:04:09,Meek Mill,Going Bad (feat. Drake)
87,2019-08-06 08:46:08,"Jacquees , Lil Baby",Your Peace
88,2019-08-06 08:43:12,Wiz Khalifa,Something New (feat. Ty Dolla $ign)
89,2019-08-06 08:39:45,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
90,2019-08-06 08:36:09,Meek Mill,Dangerous (feat. Jeremih and PnB Rock)
91,2019-08-06 07:18:26,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
92,2019-08-06 07:14:41,Post Malone,Wow.
93,2019-08-06 07:04:29,Meek Mill,24/7 (feat. Ella Mai)
94,2019-08-06 06:49:26,Kodak Black,ZEZE (feat. Travis Scott & Offset)
