,Time,Artist,Song
0,2019-08-06 20:40:15,The Weeknd,Earned It (Fifty Shades Of Grey)
1,2019-08-06 20:43:44,Cardi B,Money
2,2019-08-06 20:46:55,Drake,Nonstop
3,2019-08-06 20:50:49,"Mustard, Nicki Minaj , Jeremih",Don't Hurt Me
4,2019-08-06 16:21:16,Ty Dolla $ign,Saved (feat. E-40)
5,2019-08-06 16:10:15,The Luniz,I Got 5 On It
6,2019-08-06 15:51:03,Travis Scott,SICKO MODE
7,2019-08-06 15:40:21,"Ja Rule , Ashanti",Mesmerize
8,2019-08-06 15:17:06,Game,All Eyez (feat. Jeremih)
9,2019-08-06 15:10:58,Big Sean,Single Again
10,2019-08-06 14:58:38,Rich The Kid,Plug Walk
11,2019-08-06 14:22:42,The Notorious B.I.G.,Big Poppa
12,2019-08-06 13:53:01,"Post Malone , 21 Savage",rockstar
13,2019-08-06 13:40:53,DaBaby,Suge
14,2019-08-06 13:37:36,Ella Mai,Trip
15,2019-08-06 13:31:28,Ty Dolla $ign,Paranoid (feat. B.o.B)
16,2019-08-06 13:12:36,Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)"
17,2019-08-06 11:37:35,Kodak Black,ZEZE (feat. Travis Scott &amp; Offset)
18,2019-08-06 11:44:39,"2Pac, Roger Troutman, , Dr. Dre",California Love
19,2019-08-06 11:14:21,Megan Thee Stallion,Big Ole Freak
20,2019-08-06 11:20:09,Saweetie,My Type
21,2019-08-06 11:22:09,Childish Gambino,Redbone
22,2019-08-06 11:07:13,Drake,Headlines
23,2019-08-06 11:10:24,"Khalid feat. Ty Dolla $ign , 6lack",OTW
24,2019-08-06 10:50:13,XXXTENTACION,SAD!
25,2019-08-06 10:52:45,Travis Scott,goosebumps
26,2019-08-06 10:21:29,J. Cole feat. Miguel,Power Trip
27,2019-08-06 09:39:10,Chris Brown feat. Drake,No Guidance
28,2019-08-06 09:41:38,Young Thug,The London (feat. J. Cole &amp; Travis Scott)
29,2019-08-06 09:45:33,City Girls,Act Up
30,2019-08-06 09:47:52,Meek Mill,24/7 (feat. Ella Mai)
31,2019-08-06 09:58:25,"Dr. Dre , Snoop Dogg",Still D.R.E.
32,2019-08-06 10:02:48,Derek King,Tetris
33,2019-08-06 10:09:01,Tory Lanez,Say It
34,2019-08-06 10:18:38,"YG, Tyga , Jon Z",Go Loko
35,2019-08-06 07:14:41,Post Malone,Wow.
36,2019-08-06 08:36:09,Meek Mill,Dangerous (feat. Jeremih and PnB Rock)
37,2019-08-06 08:39:45,A Boogie Wit da Hoodie,Look Back At It (feat. Olexesh)
38,2019-08-06 08:43:12,Wiz Khalifa,Something New (feat. Ty Dolla $ign)
39,2019-08-06 08:46:08,"Jacquees , Lil Baby",Your Peace
40,2019-08-06 09:04:09,Meek Mill,Going Bad (feat. Drake)
41,2019-08-06 09:18:43,OutKast,Ms. Jackson
42,2019-08-06 09:22:37,Khalid,Talk
43,2019-08-06 09:35:15,"YG, 2 Chainz, Big Sean, , Nicki Minaj",BIG BANK
